id,tier,tier_name,experiment,steered_property,direction_source,probe_rule,baseline_shape,baseline_measured,steering_mode,priority,gate,notes
T1-ellipsis,1,surface form,Ellipsis endings,Sentences trail off with ...,freeform,count '...' and unicode ellipsis,near-zero,yes,all,1,none,Cleanest possible signal; spec exists (ellipsis.yaml)
T1-emoji,1,surface form,Emoji use,Reply contains emojis,freeform,count emoji codepoints,near-zero,yes,all,1,none,First experiment to run; spec exists (emoji.yaml)
T1-exclaim,1,surface form,Exclamation marks,Reply uses ! heavily,freeform,count '!' chars,low,yes,all,2,none,Simple two-sided probe (can steer down on excitable prompts)
T1-parens,1,surface form,Parenthetical asides,Reply adds (asides in parentheses),freeform,count '(' chars,low,yes,all,2,none,Research doc probe 13
T1-caps,1,surface form,ALL-CAPS emphasis,Words written in full caps,freeform,count all-caps words len>=3,near-zero,yes,all,2,none,Interesting: Aaron's eval-awareness run produced caps as a side effect; here we target it directly
T1-digits,1,surface form,Concrete numbers,Reply cites specific quantities,freeform,count digit characters,distributed,yes,all,3,none,Research doc probe 10
T1-bold,1,surface form,Markdown bold,Reply uses **bold** markup,freeform,count '**' pairs,distributed,yes,all,3,none,Qwen loves bold; steering DOWN may be the interesting direction
T1-list,1,surface form,List formatting,Reply formatted as bullet/numbered list,freeform,regex line-start list markers,distributed,yes,all,2,none,Qwen already likes lists; verify baseline before trusting near-zero assumptions
T1-emdash,1,surface form,Em-dash to comma swap,Commas used instead of em-dashes,freeform,count em-dash chars,near-zero,yes,all,3,none,Substitution not just addition
T2-archaic,2,lexical register,Shakespeare replication,Archaic/theatrical English,freeform,count archaic words (thee/thou/hath...),near-zero,yes,all,1,none,Replicates team's Lambda result deterministically; spec exists (shakespeare.yaml)
T2-contractions,2,lexical register,Contraction use,don't/can't instead of do not/cannot,freeform,regex contraction count,low,yes,all,2,none,Formality probe; two-sided
T2-verbosity,2,lexical register,Verbosity,Longer more elaborate replies,freeform,word count,distributed,yes,all,2,none,Noisy continuous probe; needs more samples
T2-hedging,2,lexical register,Hedging markers,might/perhaps/it seems density,freeform,count hedge-word list,distributed,yes,all,2,none,Marker count only; no judge
T2-sentlen,2,lexical register,Short punchy sentences,Low average words per sentence,freeform,mean words per sentence,distributed,yes,all,2,none,Research doc probe 12; steer DOWN from baseline
T2-person,2,lexical register,First-person reference,I/me/my frequency,freeform,count first-person pronouns,low,yes,all,3,none,Perspective steering
T2-secondperson,2,lexical register,Second-person address,you/your frequency,freeform,count second-person pronouns,distributed,yes,all,3,none,Complement of T2-person; interference check between the two later
T2-allit,2,lexical register,Alliteration,Consecutive words share a first letter,freeform,count adjacent same-initial word pairs,distributed,yes,all,2,none,Research doc probe 1; chance baseline is well above zero so census distribution matters; sound-constrained word choice
T3-rhyme,3,lexical plan,Rhyme plan flip (paper repro),Planned rhyme word rabbit->mouse,verbalize-edit,regex rhyme-family words in completion,peaked,no,position,1,bottleneck check cos>0.5,The paper's demo on Qwen; script exists (repro_rhyme.py)
T3-wordle-away,3,lexical plan,Wordle: avoid usual opener,Move off the modal first-guess word,freeform,extract 5-letter word; P(modal word),peaked,yes,position,1,census measures opener histogram first,Daniel's idea; easiest wordle variant
T3-wordle-letter,3,lexical plan,Wordle: force first letter,Opener starts with chosen letter,freeform,extract word; P(first letter = target),peaked,yes,position,2,T3-wordle-away shows effect,Middle difficulty
T3-wordle-word,3,lexical plan,Wordle: force exact word,Opener is HOUSE,freeform,extract word; exact match + edit distance,peaked,yes,position,2,T3-wordle-letter shows effect,HORSE = graded near-miss; also tests steering vs instruction
T3-number,3,lexical plan,Number choice,Pick a number 1-10 lands on target,freeform,extract number; P(target),peaked,yes,position,2,census measures number histogram,Humans and models both favor 7; simplest possible choice task
T3-color,3,lexical plan,Color choice,Favorite-color answer moves to target,freeform,extract color word; P(target),peaked,yes,position,2,census measures color histogram,Expected peaked on blue
T3-firstword,3,lexical plan,First word of reply,Reply begins with chosen word,freeform,first word == target,peaked,no,position,2,none,Steering the very first token commitment
